Stab,Error,Sign,Wind,Mag,Vis,Auto-pilot
stab,SS,pp,head,Low,yes,YES
stab,SS,pp,tail,Low,yes,YES
stab,SS,nn,head,Low,yes,YES
stab,SS,nn,tail,Low,yes,YES
stab,SS,pp,head,Med,yes,YES
stab,SS,pp,tail,Med,yes,YES
stab,SS,nn,head,Med,yes,YES
stab,SS,nn,tail,Med,yes,YES
stab,SS,pp,head,Strong,yes,YES
stab,SS,pp,tail,Strong,yes,YES
stab,SS,nn,head,Strong,yes,YES
stab,SS,nn,tail,Strong,yes,YES
stab,MM,pp,head,Low,yes,YES
stab,MM,pp,head,Med,yes,YES
stab,MM,pp,head,Low,yes,YES
stab,MM,pp,head,Med,yes,YES
stab,MM,pp,head,Strong,yes,YES
stab,XL,pp,head,Low,no,YES
stab,XL,pp,head,Med,no,YES
stab,XL,pp,head,Strong,no,YES
stab,XL,pp,head,Out,no,YES
stab,XL,pp,tail,Low,no,YES
stab,XL,pp,tail,Med,no,YES
stab,XL,pp,tail,Strong,no,YES
stab,XL,pp,tail,Out,no,YES
stab,XL,nn,head,Low,no,YES
stab,XL,nn,head,Med,no,YES
stab,XL,nn,head,Strong,no,YES
stab,XL,nn,head,Out,no,YES
stab,XL,nn,tail,Low,no,YES
stab,XL,nn,tail,Med,no,YES
stab,XL,nn,tail,Strong,no,YES
stab,XL,nn,tail,Out,no,YES
stab,LX,pp,head,Low,no,YES
stab,LX,pp,head,Med,no,YES
stab,LX,pp,head,Strong,no,YES
stab,LX,pp,head,Out,no,YES
stab,LX,pp,tail,Low,no,YES
stab,LX,pp,tail,Med,no,YES
stab,LX,pp,tail,Strong,no,YES
stab,LX,pp,tail,Out,no,YES
stab,LX,nn,head,Low,no,YES
stab,LX,nn,head,Med,no,YES
stab,LX,nn,head,Strong,no,YES
stab,LX,nn,head,Out,no,YES
stab,LX,nn,tail,Low,no,YES
stab,LX,nn,tail,Med,no,YES
stab,LX,nn,tail,Strong,no,YES
stab,LX,nn,tail,Out,no,YES
stab,MM,pp,head,Low,no,YES
stab,MM,pp,head,Med,no,YES
stab,MM,pp,head,Strong,no,YES
stab,MM,pp,head,Out,no,YES
stab,MM,pp,tail,Low,no,YES
stab,MM,pp,tail,Med,no,YES
stab,MM,pp,tail,Strong,no,YES
stab,MM,pp,tail,Out,no,YES
stab,MM,nn,head,Low,no,YES
stab,MM,nn,head,Med,no,YES
stab,MM,nn,head,Strong,no,YES
stab,MM,nn,head,Out,no,YES
stab,MM,nn,tail,Low,no,YES
stab,MM,nn,tail,Med,no,YES
stab,MM,nn,tail,Strong,no,YES
stab,MM,nn,tail,Out,no,YES
stab,SS,pp,head,Low,no,YES
stab,SS,pp,head,Med,no,YES
stab,SS,pp,head,Strong,no,YES
stab,SS,pp,head,Out,no,YES
stab,SS,pp,tail,Low,no,YES
stab,SS,pp,tail,Med,no,YES
stab,SS,pp,tail,Strong,no,YES
stab,SS,pp,tail,Out,no,YES
stab,SS,nn,head,Low,no,YES
stab,SS,nn,head,Med,no,YES
stab,SS,nn,head,Strong,no,YES
stab,SS,nn,head,Out,no,YES
stab,SS,nn,tail,Low,no,YES
stab,SS,nn,tail,Med,no,YES
